         name          |V|          |E|        value         time
      bitcoin          571          713      713.000        0.018
     epinions         7078         9229     9229.000        0.298
     slashdot         7923         8465     8465.000        0.217
      twitter         1895         2277     2277.000        0.083
     conflict          759         4885     4885.000        0.754
    elections          935         1232     1232.000        0.036
     politics         2371         3155     3155.000        0.310
       growth       272621       375603   375603.000       37.249

rounds: 10
