         beta          |V|          |E|        value         time
bitcoin:
        2.000         5857        21445    18905.000        0.053
        2.828         5712        20576    18025.144        0.056
        4.000         5545        19523    17139.000        0.057
        5.657         5457        18666    16369.258        0.059
        8.000         5303        17525    15605.000        0.059
       11.314         5210        16110    14944.658        0.054
       16.000         5118        15356    14348.000        0.057
       22.627         5073        14758    13920.801        0.058
       32.000         5035        14102    13622.000        0.052
       45.255         4954        13353    13081.470        0.053
       64.000         4971        13529    13465.000        0.062
       90.510         4983        13237    13146.490        0.059
      128.000         4956        13124    12868.000        0.059
      181.019         4869        13139    13139.000        0.057
      256.000         4817        12658    12658.000        0.055
epinions:
        2.000       119128       704263   598441.000        3.203
        2.828       111757       652255   562047.456        3.140
        4.000       106772       612474   530230.000        3.157
        5.657       103643       580596   500905.841        2.991
        8.000       100176       547924   472228.000        3.099
       11.314        96756       511069   444384.284        4.898
       16.000        94372       481504   420016.000        4.936
       22.627        92749       453807   398687.628        4.882
       32.000        90580       422869   379125.000        4.498
       45.255        88900       398429   362406.020        4.910
       64.000        87460       372926   347134.000        4.868
       90.510        86669       357209   336753.740        4.590
      128.000        86378       339672   329688.000        4.433
      181.019        85326       328680   323249.430        4.313
      256.000        84875       314652   312860.000        4.505
slashdot:
        2.000        82130       500405   350003.000        2.030
        2.828        74437       406217   304892.588        2.118
        4.000        69132       348431   273879.000        2.172
        5.657        65318       306407   251217.308        2.271
        8.000        62869       273891   233107.000        2.365
       11.314        60960       250952   219272.800        3.312
       16.000        59657       231411   208115.000        3.532
       22.627        58542       216440   200917.878        3.342
       32.000        57477       202988   194572.000        3.246
       45.255        56730       193975   188001.340        3.571
       64.000        56958       191617   188545.000        3.405
       90.510        56750       187196   184752.230        3.464
      128.000        56634       186373   185605.000        3.582
      181.019        56012       182161   182161.000        4.503
      256.000        56449       182656   182656.000        4.709
twitter:
        2.000        10834       251118   228448.000        0.483
        2.828        10464       238242   222255.316        0.505
        4.000        10391       235241   213781.000        0.482
        5.657         9962       227004   211588.675        0.516
        8.000         9649       209941   209701.000        0.498
       11.314         9633       209700   209654.744        0.515
       16.000         9632       209688   209640.000        0.480
       22.627         9628       209633   209633.000        0.491
       32.000         9628       209633   209633.000        0.485
       45.255         9628       209633   209633.000        0.503
       64.000         9628       209633   209633.000        0.521
       90.510         9628       209633   209633.000        0.514
      128.000         9628       209633   209633.000        0.468
      181.019         9628       209633   209633.000        0.476
      256.000         9628       209633   209633.000        0.465
conflict:
        2.000       112983      2024498  1701232.000        5.923
        2.828       102853      1896769  1590802.024        6.681
        4.000        95559      1778072  1485204.000        6.480
        5.657        89030      1660257  1385920.785        6.750
        8.000        85078      1558352  1293536.000       10.051
       11.314        81301      1453059  1205893.356       10.109
       16.000        78554      1354324  1125812.000       10.591
       22.627        75923      1255228  1051268.222       10.035
       32.000        73481      1161109   988053.000        9.871
       45.255        71818      1073934   933734.010        9.861
       64.000        70220       995536   887888.000       10.023
       90.510        69271       926501   857622.890        9.455
      128.000        67971       869353   827753.000        9.753
      181.019        67319       823429   803516.910       10.069
      256.000        66813       804964   796260.000        9.806
elections:
        2.000         7054       100613    70859.000        0.181
        2.828         6263        86028    61305.624        0.194
        4.000         5604        72927    53511.000        0.208
        5.657         5167        63493    47427.120        0.287
        8.000         4855        55681    42321.000        0.302
       11.314         4523        47840    38042.076        0.317
       16.000         4430        42960    35232.000        0.311
       22.627         4210        38050    33094.687        0.319
       32.000         4157        34591    29695.000        0.321
       45.255         4047        32609    29622.170        0.309
       64.000         3962        29581    28557.000        0.320
       90.510         3992        28548    28366.980        0.328
      128.000         3892        28063    27679.000        0.311
      181.019         3890        25547    25547.000        0.315
      256.000         3876        26964    26708.000        0.297
politics:
        2.000       137740       715334   613520.000        3.246
        2.828       137738       715330   571113.312        3.097
        4.000       105978       609511   531851.000        3.212
        5.657        97048       572172   499773.714        5.167
        8.000        91564       542611   470883.000        5.217
       11.314        86276       511504   443009.044        7.113
       16.000        83091       479001   416873.000        5.001
       22.627        79449       444464   391901.479        5.359
       32.000        77089       413997   371853.000        5.304
       45.255        76547       387971   354301.280        4.957
       64.000        74863       365145   341977.000        4.622
       90.510        73589       341956   331275.820        4.677
      128.000        72881       325828   320708.000        5.061
      181.019        73200       316072   313175.696        4.899
      256.000        73310       319769   318233.000        4.803
method:
MBG
0 1 -?
1 20 0.8 0.8 1.5
