             beta           max|V|           max|E|         avgValue         maxValue         varValue          avgTime
bitcoin:
                2              138             2245         2037.000         2037.000            0.000            0.979
            2.828              138             2245         1950.843         1950.843            0.000            0.979
            4.000              138             2245         1829.000         1829.000            0.000            0.979
            5.657              138             2245         1656.688         1656.688            0.000            0.979
            8.000              138             2245         1413.000         1413.000            0.000            0.979
           11.314              138             2245         1068.375         1068.375            0.000            0.979
           16.000              138             2245          581.000          581.000            0.000            0.979
           22.627                0                0            0.000            0.000            0.000            0.979
           32.000                0                0            0.000            0.000            0.000            0.979
           45.255                0                0            0.000            0.000            0.000            0.979
           64.000                0                0            0.000            0.000            0.000            0.979
           90.510                0                0            0.000            0.000            0.000            0.979
          128.000                0                0            0.000            0.000            0.000            0.979
          181.019                0                0            0.000            0.000            0.000            0.979
          256.000                0                0            0.000            0.000            0.000            0.979
epinions:
            2.000             1017            72563        65455.000        65455.000            0.000            9.213
            2.828             1017            72563        62510.760        62510.760            0.000            9.213
            4.000             1017            72563        58347.000        58347.000            0.000            9.213
            5.657             1017            72563        52458.555        52458.555            0.000            9.213
            8.000             1017            72563        44131.000        44131.000            0.000            9.213
           11.314             1017            72563        32354.110        32354.110            0.000            9.213
           16.000             1017            72563        15699.000        15699.000            0.000            9.213
           22.627                0                0            0.000            0.000            0.000            9.213
           32.000                0                0            0.000            0.000            0.000            9.213
           45.255                0                0            0.000            0.000            0.000            9.213
           64.000                0                0            0.000            0.000            0.000            9.213
           90.510                0                0            0.000            0.000            0.000            9.213
          128.000                0                0            0.000            0.000            0.000            9.213
          181.019                0                0            0.000            0.000            0.000            9.213
          256.000                0                0            0.000            0.000            0.000            9.213
slashdot:
            2.000              234             9584         9324.000         9324.000            0.000            7.287
            2.828              234             9584         9216.304         9216.304            0.000            7.287
            4.000              234             9584         9064.000         9064.000            0.000            7.287
            5.657              234             9584         8848.610         8848.610            0.000            7.287
            8.000              234             9584         8544.000         8544.000            0.000            7.287
           11.314              234             9584         8113.219         8113.219            0.000            7.287
           16.000              234             9584         7504.000         7504.000            0.000            7.287
           22.627              234             9584         6642.438         6642.438            0.000            7.287
           32.000              234             9584         5424.000         5424.000            0.000            7.287
           45.255              234             9584         3700.876         3700.876            0.000            7.287
           64.000              234             9584         1264.000         1264.000            0.000            7.287
           90.510                0                0            0.000            0.000            0.000            7.287
          128.000                0                0            0.000            0.000            0.000            7.287
          181.019                0                0            0.000            0.000            0.000            7.287
          256.000                0                0            0.000            0.000            0.000            7.287
twitter:
            2.000              673            59017        58579.000        58579.000            0.000            1.704
            2.828              673            59017        58397.574        58397.574            0.000            1.704
            4.000              673            59017        58141.000        58141.000            0.000            1.704
            5.657              673            59017        57778.150        57778.150            0.000            1.704
            8.000              673            59017        57265.000        57265.000            0.000            1.704
           11.314              673            59017        56539.300        56539.300            0.000            1.704
           16.000              673            59017        55513.000        55513.000            0.000            1.704
           22.627              673            59017        54061.599        54061.599            0.000            1.704
           32.000              673            59017        52009.000        52009.000            0.000            1.704
           45.255              673            59017        49106.199        49106.199            0.000            1.704
           64.000              673            59017        45001.000        45001.000            0.000            1.704
           90.510              673            59017        39195.376        39195.376            0.000            1.704
          128.000              673            59017        30985.000        30985.000            0.000            1.704
          181.019              673            59017        19373.839        19373.839            0.000            1.704
          256.000              673            59017         2953.000         2953.000            0.000            1.704
conflict:
            2.000             2442           239571       214473.000       214473.000            0.000           12.899
            2.828             2442           239571       204077.032       204077.032            0.000           12.899
            4.000             2442           239571       189375.000       189375.000            0.000           12.899
            5.657             2442           239571       168583.189       168583.189            0.000           12.899
            8.000             2442           239571       139179.000       139179.000            0.000           12.899
           11.314             2442           239571        97595.379        97595.379            0.000           12.899
           16.000             2442           239571        38787.000        38787.000            0.000           12.899
           22.627                0                0            0.000            0.000            0.000           12.899
           32.000                0                0            0.000            0.000            0.000           12.899
           45.255                0                0            0.000            0.000            0.000           12.899
           64.000                0                0            0.000            0.000            0.000           12.899
           90.510                0                0            0.000            0.000            0.000           12.899
          128.000                0                0            0.000            0.000            0.000           12.899
          181.019                0                0            0.000            0.000            0.000           12.899
          256.000                0                0            0.000            0.000            0.000           12.899
elections:
            2.000              748            31466        26828.000        26828.000            0.000            1.022
            2.828              748            31466        24906.871        24906.871            0.000            1.022
            4.000              748            31466        22190.000        22190.000            0.000            1.022
            5.657              748            31466        18347.765        18347.765            0.000            1.022
            8.000              748            31466        12914.000        12914.000            0.000            1.022
           11.314              748            31466         5229.530         5229.530            0.000            1.022
           16.000                0                0            0.000            0.000            0.000            1.022
           22.627                0                0            0.000            0.000            0.000            1.022
           32.000                0                0            0.000            0.000            0.000            1.022
           45.255                0                0            0.000            0.000            0.000            1.022
           64.000                0                0            0.000            0.000            0.000            1.022
           90.510                0                0            0.000            0.000            0.000            1.022
          128.000                0                0            0.000            0.000            0.000            1.022
          181.019                0                0            0.000            0.000            0.000            1.022
          256.000                0                0            0.000            0.000            0.000            1.022
politics:
            2.000              648            30867        28655.000        28655.000            0.000           10.003
            2.828              648            30867        27738.756        27738.756            0.000           10.003
            4.000              648            30867        26443.000        26443.000            0.000           10.003
            5.657              648            30867        24610.524        24610.524            0.000           10.003
            8.000              648            30867        22019.000        22019.000            0.000           10.003
           11.314              648            30867        18354.048        18354.048            0.000           10.003
           16.000              648            30867        13171.000        13171.000            0.000           10.003
           22.627              648            30867         5841.096         5841.096            0.000           10.003
           32.000                0                0            0.000            0.000            0.000           10.003
           45.255                0                0            0.000            0.000            0.000           10.003
           64.000                0                0            0.000            0.000            0.000           10.003
           90.510                0                0            0.000            0.000            0.000           10.003
          128.000                0                0            0.000            0.000            0.000           10.003
          181.019                0                0            0.000            0.000            0.000           10.003
          256.000                0                0            0.000            0.000            0.000           10.003

method: eigensign
