         beta          |V|          |E|        value         time
bitcoin:
        2.000         5875        21489     5475.000        0.020
        2.828         4339         9081     4625.520        0.022
        4.000         2501         3696     2272.000        0.019
        5.657         1649         2176     1367.174        0.018
        8.000          986         1225      911.000        0.018
       11.314          835         1078      828.000        0.017
       16.000          777          970      796.000        0.017
       22.627          761          850      726.000        0.017
       32.000          674          890      779.000        0.018
       45.255          573          752      644.000        0.016
       64.000          610          769      673.000        0.017
       90.510          633          793      749.000        0.021
      128.000          702          870      848.000        0.017
      181.019          458          634      610.000        0.017
      256.000          488          642      622.000        0.017
epinions:
        2.000       119130       704267   166314.000        0.351
        2.828        87266       240563   120832.040        0.289
        4.000        61582       123538    77252.000        0.283
        5.657        37460        62760    44051.962        0.552
        8.000        22095        33618    23713.000        0.283
       11.314        13584        23438    18791.406        0.311
       16.000        11557        16146    13378.000        0.283
       22.627        10316        13575    10996.492        0.283
       32.000         9476        12463    10018.000        0.288
       45.255         8509        11483     9914.000        0.286
       64.000         8305        10412     8902.000        0.370
       90.510         8237        10399     9243.000        0.350
      128.000         7973        10766    10049.000        0.283
      181.019         8118        10460     9735.000        0.287
      256.000         8208        10577     9951.000        0.288
slashdot:
        2.000        82140       500481    98542.000        0.252
        2.828        57124       143526    64920.536        0.330
        4.000        33496        50386    27668.000        0.219
        5.657        23279        29323    18192.213        0.207
        8.000        14974        16712    11451.000        0.201
       11.314        12199        13292     9096.406        0.198
       16.000        11121        12027     8509.000        0.197
       22.627        10346        11203     8523.119        0.207
       32.000        10000        10754     8851.000        0.196
       45.255         9665        10373     8576.000        0.198
       64.000         9086         9793     8585.000        0.207
       90.510         8675         9367     8408.000        0.211
      128.000         8223         8844     8117.000        0.218
      181.019         8590         9205     8616.000        0.211
      256.000         8419         9080     8691.000        0.211
twitter:
        2.000        10864       251396    59806.000        0.085
        2.828         9272        79466    40117.712        0.080
        4.000         7798        38933    25316.000        0.083
        5.657         6518        25766    18988.092        0.081
        8.000         3748         6537     4999.000        0.091
       11.314         2603         3216     2282.000        0.101
       16.000         2427         2905     2256.000        0.081
       22.627         2333         2865     2298.373        0.081
       32.000         2112         2476     2062.000        0.083
       45.255         2165         2616     2214.000        0.084
       64.000         2146         2663     2397.000        0.080
       90.510         1985         2394     2193.000        0.082
      128.000         1920         2193     2084.000        0.088
      181.019         1930         2298     2189.000        0.095
      256.000         2056         2725     2643.000        0.080
conflict:
        2.000       112998      2024682   455164.000        0.862
        2.828        77545       438873   189350.656        0.759
        4.000        50373       140226    76160.000        0.799
        5.657        29242        67670    41053.471        0.820
        8.000        18078        41970    26025.000        0.771
       11.314        10656        26777    17072.286        0.771
       16.000         4981        12899     9531.000        0.789
       22.627         2978         6910     4404.515        0.760
       32.000         4064        11407     6734.000        0.807
       45.255         1244         3230     2963.745        0.769
       64.000         1592         4575     3377.000        0.755
       90.510         1523         4592     3267.000        0.760
      128.000         1258         4181     3595.000        0.771
      181.019         1456         4268     3272.000        0.769
      256.000         1028         4251     3842.000        0.759
elections:
        2.000         7066       100667    19950.000        0.042
        2.828         5348        33663    13719.688        0.038
        4.000         3913        13253     7122.000        0.039
        5.657         2947         7523     4747.981        0.038
        8.000         2248         4652     3294.000        0.038
       11.314         1335         2213     1819.372        0.038
       16.000         1177         1531     1260.000        0.040
       22.627         1074         1468     1276.000        0.038
       32.000         1022         1271     1095.000        0.041
       45.255          950         1236     1132.000        0.039
       64.000          948         1286     1210.000        0.037
       90.510          924         1147     1076.000        0.042
      128.000          968         1219     1178.000        0.038
      181.019          947         1235     1199.000        0.044
      256.000          872         1085     1060.000        0.040
politics:
        2.000       137740       715334   167525.000        0.301
        2.828        77934       189060    90687.164        0.303
        4.000        41005        69030    38487.000        0.302
        5.657        23511        35333    20421.461        0.296
        8.000        11641        17294    10962.000        0.300
       11.314         5790         8268     5654.020        0.293
       16.000         4060         5508     3587.000        0.296
       22.627         3694         5120     2725.698        0.296
       32.000         3038         3989     2508.000        0.310
       45.255         2945         4110     2478.215        0.303
       64.000         2869         3929     2370.000        0.303
       90.510         2821         3696     3077.000        0.304
      128.000         2125         2907     2493.000        0.297
      181.019         2374         3155     2668.000        0.348
      256.000         2028         2863     2563.000        0.310
growth:
        2.000      1870521     39953004  3981501.000       34.167
        2.828      1266382      3816507  1124497.652       34.587
        4.000       917429      1819048   770175.000       32.700
        5.657       690677      1134737   581787.216       32.592
        8.000       509940       746212   467693.000       34.042
       11.314       439374       630352   400759.776       63.181
       16.000       394346       562587   381438.000       74.867
       22.627       364995       520228   377652.238       71.257
       32.000       340133       483401   375388.000       71.338
       45.255       322479       456897   374030.000       72.094
       64.000       311006       438487   375918.000       68.525
       90.510       299572       420915   373917.000       36.535
      128.000       292947       410102   377053.000       35.860
      181.019       287631       401077   375417.000       32.891
      256.000       283220       393587   375517.000       39.086

rounds: 10
