             beta              |V|              |E|            value             time
bitcoin:
            2.000             5176            17855        15419.000            3.263
            2.828             5176            17855        15419.000            3.263
            4.000             5176            17855        12983.000            3.263
            5.657             5176            17855        11765.000            3.263
            8.000             5176            17855         9840.000            3.263
           11.314             5176            17855         9840.000            3.263
           16.000             4269            12285         9840.000            3.263
           22.627             4269             9840         9840.000            3.263
           32.000             4269             9840         9840.000            3.263
           45.255             4269             9840         9840.000            3.263
           64.000             4269             9840         9840.000            3.263
           90.510             4269             9840         9840.000            3.263
          128.000             4269             9840         9840.000            3.263
          181.019             4269             9840         9840.000            3.263
          256.000             4269             9840         9840.000            3.263
epinions:
            2.000           117076           695373       549589.000          271.544
            2.828           117076           695373       549589.000          271.544
            4.000           117076           695373       430227.000          271.544
            5.657           117076           695373       380729.000          271.544
            8.000           114661           684657       239861.000          271.544
           11.314           112736           671037       186447.000          271.544
           16.000            87061           448906       186447.000          271.544
           22.627            68647           291076       186447.000          271.544
           32.000            65776           197837       186447.000          271.544
           45.255            65776           186447       186447.000          271.544
           64.000            65776           186447       186447.000          271.544
           90.510            65776           186447       186447.000          271.544
          128.000            65776           186447       186447.000          271.544
          181.019            65776           186447       186447.000          271.544
          256.000            65776           186447       186447.000          271.544
slashdot:
            2.000            80291           485851       239518.000          216.687
            2.828            80291           485851       239518.000          216.687
            4.000            73934           430368        94027.000          216.687
            5.657            61811           324464        94027.000          216.687
            8.000            41839            94027        94027.000          216.687
           11.314            41839            94027        94027.000          216.687
           16.000            41839            94027        94027.000          216.687
           22.627            41839            94027        94027.000          216.687
           32.000            41839            94027        94027.000          216.687
           45.255            41839            94027        94027.000          216.687
           64.000            41839            94027        94027.000          216.687
           90.510            41839            94027        94027.000          216.687
          128.000            41839            94027        94027.000          216.687
          181.019            41839            94027        94027.000          216.687
          256.000            41839            94027        94027.000          216.687
twitter:
            2.000            10546           234093       200377.000            8.674
            2.828            10546           234093       200377.000            8.674
            4.000            10546           234093       175539.000            8.674
            5.657            10546           234093       163702.000            8.674
            8.000            10546           234093       132928.000            8.674
           11.314            10546           234093       132928.000            8.674
           16.000            10244           222887       132928.000            8.674
           22.627             8199           132928       132928.000            8.674
           32.000             8199           132928       132928.000            8.674
           45.255             8199           132928       132928.000            8.674
           64.000             8199           132928       132928.000            8.674
           90.510             8199           132928       132928.000            8.674
          128.000             8199           132928       132928.000            8.674
          181.019             8199           132928       132928.000            8.674
          256.000             8199           132928       132928.000            8.674
conflict:
            2.000           110100          1990234      1602254.000          425.801
            2.828           110100          1990234      1602254.000          425.801
            4.000           110100          1990234      1241127.000          425.801
            5.657           110100          1990234      1077530.000          425.801
            8.000           110100          1990234       615126.000          425.801
           11.314           108737          1923508       529197.000          425.801
           16.000            70425          1091957       529197.000          425.801
           22.627            58495           803366       529197.000          425.801
           32.000            58495           529197       529197.000          425.801
           45.255            58495           529197       529197.000          425.801
           64.000            58495           529197       529197.000          425.801
           90.510            58495           529197       529197.000          425.801
          128.000            58495           529197       529197.000          425.801
          181.019            58495           529197       529197.000          425.801
          256.000            58495           529197       529197.000          425.801
elections:
            2.000             6549            94617        45882.000            5.784
            2.828             6549            94617        45882.000            5.784
            4.000             6091            87612        20013.000            5.784
            5.657             5382            73370        20013.000            5.784
            8.000             3768            28008        20013.000            5.784
           11.314             3768            20013        20013.000            5.784
           16.000             3768            20013        20013.000            5.784
           22.627             3768            20013        20013.000            5.784
           32.000             3768            20013        20013.000            5.784
           45.255             3768            20013        20013.000            5.784
           64.000             3768            20013        20013.000            5.784
           90.510             3768            20013        20013.000            5.784
          128.000             3768            20013        20013.000            5.784
          181.019             3768            20013        20013.000            5.784
          256.000             3768            20013        20013.000            5.784
politics:
            2.000           133134           685435       555607.000          190.724
            2.828           133134           685435       555607.000          190.724
            4.000           133134           685435       425779.000          190.724
            5.657           133134           685435       392928.000          190.724
            8.000           133134           685435       307003.000          190.724
           11.314           127979           661019       246256.000          190.724
           16.000           102603           539083       221001.000          190.724
           22.627            90357           473484       221001.000          190.724
           32.000            78188           368880       221001.000          190.724
           45.255            70141           280604       221001.000          190.724
           64.000            65317           235051       221001.000          190.724
           90.510            65168           221001       221001.000          190.724
          128.000            65168           221001       221001.000          190.724
          181.019            65168           221001       221001.000          190.724
          256.000            65168           221001       221001.000          190.724
